"description","value","TestID","R.Time","Matlab.Time"
"Tagged.date","unknown","test12_Wednesday",NA,NA
"Wean.weight_kg","unknown","test12_Wednesday",NA,NA
"Weaner.ID","unknown","test12_Wednesday",NA,NA
"Wean.Standard.Length","unknown","test12_Wednesday",NA,NA
"Wean.Ax.Girth","unknown","test12_Wednesday",NA,NA
"Animal.ID","51163","test12_Wednesday",NA,NA
"Deployment.Resight.ID","334707","test12_Wednesday",NA,NA
"Deploy.ID","NESE0000LOML","test12_Wednesday",NA,NA
"Seal.ID.1","E645","test12_Wednesday",NA,NA
"TOPP.ID","2019058","test12_Wednesday",NA,NA
"Deploy.Latitude","36.948644","test12_Wednesday",NA,NA
"Deploy.Longitude","-122.065416","test12_Wednesday",NA,NA
"Initial.sedation.location","BBNS","test12_Wednesday",NA,NA
"Blood","Yes","test12_Wednesday",NA,NA
"Standard.Length","154","test12_Wednesday",NA,NA
"Curved.Length","179","test12_Wednesday",NA,NA
"Ax.Girth","132","test12_Wednesday",NA,NA
"Whisker","N","test12_Wednesday",NA,NA
"Fur","N","test12_Wednesday",NA,NA
"Blubber","N","test12_Wednesday",NA,NA
"Instruments","Sleep Tag","test12_Wednesday",NA,NA
"First.Calibration.Event.Type","Galumphing","test12_Wednesday",NA,NA
"First.Calibration.Event.Start","10/25/2019 14:58:59","test12_Wednesday",2019-10-25 14:58:59,2019-10-25 14:58:59
"First.Calibration.Event.End","10/25/2019 14:59:12","test12_Wednesday",2019-10-25 14:59:12,2019-10-25 14:59:12
"Expected.Duration","00:00:13.000","test12_Wednesday",NA,NA
"Logger.Event.Time.Start_TYPE","10/25/2019 16:58:59.000","test12_Wednesday",2019-10-25 16:58:59,2019-10-25 16:58:59
"Logger.Event.Time.End_TYPE","10/25/2019 16:59:12.000","test12_Wednesday",2019-10-25 16:59:12,2019-10-25 16:59:12
"Actual.Duration","00:00:13.000","test12_Wednesday",NA,NA
"Last.Calibration.Event.2.Start","not recorded - off","test12_Wednesday",NA,NA
"Last.Calibration.Event.2.End","not recorded - off","test12_Wednesday",NA,NA
"Logger.Event.Time.Start_TYPE.1","01/00/1900 16:48:00.690","test12_Wednesday",NA,NA
"Logger.Event.Time.End_TYPE.1","01/00/1900 16:48:10.630","test12_Wednesday",NA,NA
"Actual.Duration.1","00:00:09.940","test12_Wednesday",NA,NA
"Offset.NOT.accounted.for.by.Insert.Restart.Delays","#VALUE!","test12_Wednesday",NA,NA
"Additional.Sync.Event.Start","Time of water entry:","test12_Wednesday",NA,NA
"Additional.Sync.Event.End","10/27/2019 16:39:33","test12_Wednesday",2019-10-27 16:39:33,2019-10-27 16:39:33
"Time.of.water.entry","10/27/2019 16:39:33","test12_Wednesday",2019-10-27 16:39:33,2019-10-27 16:39:33
"Recording.Duration_s","317752.316","test12_Wednesday",NA,NA
"Recording.Duration_days","3.677688843","test12_Wednesday",NA,NA
"Extra.Sedation","No","test12_Wednesday",NA,NA
"Experiment.Duration_days.from.attachment.to.removal","#VALUE!","test12_Wednesday",NA,NA
"Pickup.Crew","Patrick Robinson, Jessie Kendall-Bar, Jason Mulsow, Ryan Jones, Oleg Lyamin, Julie Pitman, Roxy Cuthbertson, Lilian Carswell, Arina Favilla","test12_Wednesday",NA,NA
"Attachment.Crew","Patrick Robinson, Jessie Kendall-Bar, Jason Mulsow, Ryan Jones, Oleg Lyamin, Julie Pitman, Roxy Cuthbertson, Lilian Carswell, Arina Favilla","test12_Wednesday",NA,NA
"Release.Crew","Patrick Robinson, Jessie Kendall-Bar, Jason Mulsow, Ryan Jones, Oleg Lyamin, Julie Pitman, Roxy Cuthbertson, Lilian Carswell, Arina Favilla","test12_Wednesday",NA,NA
"Animal.Comment","Animal brought to Long Marine Lab on Thursday 24 Oct 19 for Somniseal EEG testing by Jessie Kendall-Bar, drugged 3 times overall, and released back to MBBL on 29 Oct 19.","test12_Wednesday",NA,NA
"Post.study.Sighting.with.Patches.Date","11/2/2019","test12_Wednesday",NA,NA
"Post.study.Sighting.with.Patches.Comments","Lots of old tag instrumentation left on this animal - very aggressive","test12_Wednesday",NA,NA
"Scorable.Without.ICA","no","test12_Wednesday",NA,NA
"Begin.Calm.in.Water.for.ICA","10/28/2019 05:52:00","test12_Wednesday",2019-10-28 05:52:00,2019-10-28 05:52:00
"End.Calm.in.Water.for.ICA","10/28/2019 06:08:00","test12_Wednesday",2019-10-28 06:08:00,2019-10-28 06:08:00
"Duration.for.ICA","00:16:00","test12_Wednesday",NA,NA
"Best.EOG.EMG.EEG","2,4,7,8","test12_Wednesday",NA,NA
"ICA.Decomposition.Quality","Excellent","test12_Wednesday",NA,NA
"ICA.Component.Maximal.Brain","5","test12_Wednesday",NA,NA
"ICA.Component.Maximal.Heart","2","test12_Wednesday",NA,NA
"Pruned.with.ICA.Components","1,2","test12_Wednesday",NA,NA
"Channel.Configuration","[14 15 16 19 20 17 21 25 29]","test12_Wednesday",NA,NA
"Attachment.Orientation","right side up","test12_Wednesday",NA,NA
"Time.for.orientation","10/25/2019 14:45:36","test12_Wednesday",2019-10-25 14:45:36,2019-10-25 14:45:36
"AccX.during.attachment","-0.073377463","test12_Wednesday",NA,NA
"AccY.during.attachment","-0.013335098","test12_Wednesday",NA,NA
"AccZ.during.attachment","-0.9816","test12_Wednesday",NA,NA
"Data.Comments.from.Alexei","Test12 files.
Test24 Matlab files modified. I.e. without unnecessary intermediate variables.
Updated Neurologger3Converter&Visualizer","test12_Wednesday",NA,NA
"Recording.ID","WILD_2mo-weanling","test20_SnoozySuzy",NA,NA
"Test.Number","20","test20_SnoozySuzy",NA,NA
"Deployment","2","test20_SnoozySuzy",NA,NA
"Seal.Number","17","test20_SnoozySuzy",NA,NA
"Sex","F","test20_SnoozySuzy",NA,NA
"Version","V2","test20_SnoozySuzy",NA,NA
"Age","(0,1]","test20_SnoozySuzy",NA,NA
"Age.Estimate","75 days old","test20_SnoozySuzy",NA,NA
"Seal.ID","H312","test20_SnoozySuzy",NA,NA
"Pressed.Start.Logger","04/10/2020 17:09:51","test20_SnoozySuzy",2020-04-10 17:09:51,2020-04-10 17:09:51
"Logger.Start","04/10/2020 17:10:03","test20_SnoozySuzy",2020-04-10 17:10:03,2020-04-10 17:10:03
"Start.for.EDF.Files","04/10/2020 17:10:01.52","test20_SnoozySuzy",2020-04-10 17:10:01,2020-04-10 17:10:01
"Duration_ON_ANIMAL_h","73.81","test20_SnoozySuzy",NA,NA
"ON.ANIMAL","04/11/2020 16:46:25","test20_SnoozySuzy",2020-04-11 16:46:25,2020-04-11 16:46:25
"OFF.ANIMAL","04/14/2020 18:34:59","test20_SnoozySuzy",2020-04-14 18:34:59,2020-04-14 18:34:59
"Attachment_InitialStick","04/11/2020 15:47:00","test20_SnoozySuzy",2020-04-11 15:47:00,2020-04-11 15:47:00
"Attachment_LastDose","04/11/2020 17:07:00","test20_SnoozySuzy",2020-04-11 17:07:00,2020-04-11 17:07:00
"Attachment_Cortisol","3.123","test20_SnoozySuzy",NA,NA
"Attachment_cv","3.17","test20_SnoozySuzy",NA,NA
"Removal_InitialStick","04/14/2020 18:11:00","test20_SnoozySuzy",2020-04-14 18:11:00,2020-04-14 18:11:00
"Removal_LastDose","04/14/2020 18:42:00","test20_SnoozySuzy",2020-04-14 18:42:00,2020-04-14 18:42:00
"Logger.Stop","not recorded - off","test20_SnoozySuzy",NA,NA
"Actual.Start.Time_CATS.toolbox","04/10/2020 17:10:01.520","test20_SnoozySuzy",2020-04-10 17:10:01,2020-04-10 17:10:01
"Logger.Used","L2","test20_SnoozySuzy",NA,NA
"SD.Card.Used","2","test20_SnoozySuzy",NA,NA
"Configuration.Notes","no real time clock, channel configuration ""normal""","test20_SnoozySuzy",NA,NA
"Restarts.Present","No","test20_SnoozySuzy",NA,NA
"Number.of.Restarts","0","test20_SnoozySuzy",NA,NA
"Device.Failure","No","test20_SnoozySuzy",NA,NA
"Mass.animal._kg","~200 (not weighed)","test20_SnoozySuzy",NA,NA
"Flipper.Tag.1","GH312","test20_SnoozySuzy",NA,NA
"Position","R-ou-Si","test20_SnoozySuzy",NA,NA
"Flipper.Tag.2","GH510","test20_SnoozySuzy",NA,NA
"Position.1","L-iu-Si","test20_SnoozySuzy",NA,NA
"Mark","702","test20_SnoozySuzy",NA,NA
"Mark.Position","R,L","test20_SnoozySuzy",NA,NA
"Birth.date","b/w Jan-23 & 29","test20_SnoozySuzy",NA,NA
"Wean.date","03/05/2020 00:00:00","test20_SnoozySuzy",2020-03-05 00:00:00,2020-03-05 00:00:00
"Tagged.date","unknown","test20_SnoozySuzy",NA,NA
"Wean.weight_kg","199.8","test20_SnoozySuzy",NA,NA
"Weaner.ID","not recorded","test20_SnoozySuzy",NA,NA
"Wean.Standard.Length","unknown","test20_SnoozySuzy",NA,NA
"Wean.Ax.Girth","unknown","test20_SnoozySuzy",NA,NA
"Animal.ID","51536","test20_SnoozySuzy",NA,NA
"Deployment.Resight.ID","347591","test20_SnoozySuzy",NA,NA
"Deploy.ID","NESE0840ANNU","test20_SnoozySuzy",NA,NA
"Seal.ID.1","H312","test20_SnoozySuzy",NA,NA
"TOPP.ID","2020045","test20_SnoozySuzy",NA,NA
"Deploy.Latitude","37.113761","test20_SnoozySuzy",NA,NA
"Deploy.Longitude","-122.327811","test20_SnoozySuzy",NA,NA
"Initial.sedation.location","APG","test20_SnoozySuzy",NA,NA
"Blood","Yes","test20_SnoozySuzy",NA,NA
"Hematocrit","58 / 58 / 57 / broke","test20_SnoozySuzy",NA,NA
"Standard.Length","165","test20_SnoozySuzy",NA,NA
"Curved.Length","177","test20_SnoozySuzy",NA,NA
"Ax.Girth","143","test20_SnoozySuzy",NA,NA
"Whisker","N","test20_SnoozySuzy",NA,NA
"Fur","N","test20_SnoozySuzy",NA,NA
"Blubber","N","test20_SnoozySuzy",NA,NA
"Instruments","Sleep Tag & BBC & VHF 148.535","test20_SnoozySuzy",NA,NA
"First.Calibration.Event.Type","Calibration Shake","test20_SnoozySuzy",NA,NA
"First.Calibration.Event.Start","04/11/2020 17:37:00","test20_SnoozySuzy",2020-04-11 17:37:00,2020-04-11 17:37:00
"First.Calibration.Event.End","04/11/2020 17:37:10","test20_SnoozySuzy",2020-04-11 17:37:10,2020-04-11 17:37:10
"Expected.Duration","00:00:10.000","test20_SnoozySuzy",NA,NA
"Logger.Event.Time.Start_TYPE","04/11/2020 17:36:59.700","test20_SnoozySuzy",2020-04-11 17:36:59,2020-04-11 17:36:59
"Logger.Event.Time.End_TYPE","04/11/2020 17:37:09.740","test20_SnoozySuzy",2020-04-11 17:37:09,2020-04-11 17:37:09
"Actual.Duration","00:00:10.040","test20_SnoozySuzy",NA,NA
"Event2_type","Calibration Shake","test20_SnoozySuzy",NA,NA
"Last.Calibration.Event.2.Start","04/14/2020 20:26:00","test20_SnoozySuzy",2020-04-14 20:26:00,2020-04-14 20:26:00
"Last.Calibration.Event.2.End","04/14/2020 20:26:10","test20_SnoozySuzy",2020-04-14 20:26:10,2020-04-14 20:26:10
"Logger.Event.Time.Start_TYPE.1","04/14/2020 20:25:55.680","test20_SnoozySuzy",2020-04-14 20:25:55,2020-04-14 20:25:55
"Logger.Event.Time.End_TYPE.1","04/14/2020 20:26:07.920","test20_SnoozySuzy",2020-04-14 20:26:07,2020-04-14 20:26:07
"Actual.Duration.1","00:00:12.240","test20_SnoozySuzy",NA,NA
"Offset.NOT.accounted.for.by.Insert.Restart.Delays","00:00:04.020","test20_SnoozySuzy",NA,NA
"Additional.Sync.Event.Start","04/12/2020 16:39:00","test20_SnoozySuzy",2020-04-12 16:39:00,2020-04-12 16:39:00
"Additional.Sync.Event.End","04/12/2020 16:39:05","test20_SnoozySuzy",2020-04-12 16:39:05,2020-04-12 16:39:05
"Time.of.water.entry","04/11/2020 22:53:37","test20_SnoozySuzy",2020-04-11 22:53:37,2020-04-11 22:53:37
"Recording.Duration_s","361858.448","test20_SnoozySuzy",NA,NA
"Recording.Duration_days","4.188176481","test20_SnoozySuzy",NA,NA
"Extra.Sedation","No","test20_SnoozySuzy",NA,NA
"Experiment.Duration_days.from.attachment.to.removal","#VALUE!","test20_SnoozySuzy",NA,NA
"Attachment.Crew","Patrick Robinson, Theresa Keates, Jessica Kendall-Bar, Roxanne Beltran","test20_SnoozySuzy",NA,NA
"Release.Crew","Patrick Robinson, Theresa Keates, Jessica Kendall-Bar, Roxanne Beltran","test20_SnoozySuzy",NA,NA
"Animal.Comment","Superweaner from moms 7025 (wean date March 5) and 7666 (wean date Feb 14), seen on colony for many months after weaned","test20_SnoozySuzy",NA,NA
"Post.study.Sighting.with.Patches.Date","1/11/2021","test20_SnoozySuzy",NA,NA
"Post.study.Sighting.with.Patches.Comments","Observed by Sarah Codde and confirmed with photograph. Seal still has epoxy patches from previous study.","test20_SnoozySuzy",NA,NA
"Scorable.Without.ICA","yes","test20_SnoozySuzy",NA,NA
"Begin.Calm.in.Water.for.ICA","04/12/2020 09:34:41","test20_SnoozySuzy",2020-04-12 09:34:41,2020-04-12 09:34:41
"End.Calm.in.Water.for.ICA","04/12/2020 09:47:19","test20_SnoozySuzy",2020-04-12 09:47:19,2020-04-12 09:47:19
"Duration.for.ICA","00:12:38","test20_SnoozySuzy",NA,NA
"Best.EOG.EMG.EEG","3,4,7,8","test20_SnoozySuzy",NA,NA
"ICA.Decomposition.Quality","Good","test20_SnoozySuzy",NA,NA
"ICA.Component.Maximal.Brain","6","test20_SnoozySuzy",NA,NA
"ICA.Component.Maximal.Heart","1","test20_SnoozySuzy",NA,NA
"Pruned.with.ICA.Components","1,2,3,4","test20_SnoozySuzy",NA,NA
"Channel.Configuration","[14 15 16 19 20 17 21 25 29]","test20_SnoozySuzy",NA,NA
"Attachment.Orientation","upside down","test20_SnoozySuzy",NA,NA
"Time.for.orientation","04/11/2020 16:55:00","test20_SnoozySuzy",2020-04-11 16:55:00,2020-04-11 16:55:00
"AccX.during.attachment","0.089426632","test20_SnoozySuzy",NA,NA
"AccY.during.attachment","-0.050311958","test20_SnoozySuzy",NA,NA
"AccZ.during.attachment","1.0062","test20_SnoozySuzy",NA,NA
"Recording.ID","WILD_2yr-juvenile","test21_DozyDaisy",NA,NA
"Test.Number","21","test21_DozyDaisy",NA,NA
"Deployment","3","test21_DozyDaisy",NA,NA
"Seal.Number","22","test21_DozyDaisy",NA,NA
"Sex","F","test21_DozyDaisy",NA,NA
"Version","V2","test21_DozyDaisy",NA,NA
"Age","(2,3]","test21_DozyDaisy",NA,NA
"Age.Estimate","2.2 years old","test21_DozyDaisy",NA,NA
"Seal.ID","E411","test21_DozyDaisy",NA,NA
"Pressed.Start.Logger","04/24/2020 16:59:48","test21_DozyDaisy",2020-04-24 16:59:48,2020-04-24 16:59:48
"Logger.Start","04/24/2020 17:00:00","test21_DozyDaisy",2020-04-24 17:00:00,2020-04-24 17:00:00
"Start.for.EDF.Files","04/24/2020 17:00:01.00","test21_DozyDaisy",2020-04-24 17:00:01,2020-04-24 17:00:01
"Duration_ON_ANIMAL_h","75.16","test21_DozyDaisy",NA,NA
"ON.ANIMAL","04/25/2020 11:14:55","test21_DozyDaisy",2020-04-25 11:14:55,2020-04-25 11:14:55
"OFF.ANIMAL","04/28/2020 14:24:13","test21_DozyDaisy",2020-04-28 14:24:13,2020-04-28 14:24:13
"Attachment_InitialStick","04/25/2020 09:58:00","test21_DozyDaisy",2020-04-25 09:58:00,2020-04-25 09:58:00
"Attachment_LastDose","04/25/2020 11:12:00","test21_DozyDaisy",2020-04-25 11:12:00,2020-04-25 11:12:00
"Attachment_Cortisol","5.144","test21_DozyDaisy",NA,NA
"Attachment_cv","0.67","test21_DozyDaisy",NA,NA
"Removal_InitialStick","04/28/2020 14:05:00","test21_DozyDaisy",2020-04-28 14:05:00,2020-04-28 14:05:00
"Removal_LastDose","04/28/2020 14:33:00","test21_DozyDaisy",2020-04-28 14:33:00,2020-04-28 14:33:00
"Logger.Stop","04/28/2020 17:55:00","test21_DozyDaisy",2020-04-28 17:55:00,2020-04-28 17:55:00
"Actual.Start.Time_CATS.toolbox","04/24/2020 16:59:58.920","test21_DozyDaisy",2020-04-24 16:59:58,2020-04-24 16:59:58
"Logger.Used","L2","test21_DozyDaisy",NA,NA
"SD.Card.Used","2","test21_DozyDaisy",NA,NA
"Configuration.Notes","no real time clock, channel configuration ""normal""","test21_DozyDaisy",NA,NA
"Restarts.Present","Yes","test21_DozyDaisy",NA,NA
"Number.of.Restarts","3","test21_DozyDaisy",NA,NA
"X.factor.per.restart","0","test21_DozyDaisy",NA,NA
"First.Restart.Seconds.Elapsed","111729.716","test21_DozyDaisy",NA,NA
"Last.Restart.Seconds.Elapsed","124116.4562","test21_DozyDaisy",NA,NA
"First.Restart.Time","04/26/2020 00:02:09.716","test21_DozyDaisy",2020-04-26 00:02:09,2020-04-26 00:02:09
"Last.Restart.Time","04/26/2020 03:28:36.456","test21_DozyDaisy",2020-04-26 03:28:36,2020-04-26 03:28:36
"Device.Failure","No","test21_DozyDaisy",NA,NA
"Mass.animal._kg","around 120","test21_DozyDaisy",NA,NA
"Flipper.Tag.1","GE411","test21_DozyDaisy",NA,NA
"Position","L-iu-So","test21_DozyDaisy",NA,NA
"Flipper.Tag.2","GG751","test21_DozyDaisy",NA,NA
"Position.1","R-ou-Si","test21_DozyDaisy",NA,NA
"Mark","E411","test21_DozyDaisy",NA,NA
"Mark.Position","R,L","test21_DozyDaisy",NA,NA
"Birth.date","in 2018","test21_DozyDaisy",NA,NA
"Wean.date","unknown","test21_DozyDaisy",NA,NA
"Tagged.date","unknown","test21_DozyDaisy",NA,NA
"Wean.weight_kg","unknown","test21_DozyDaisy",NA,NA
"Weaner.ID","not recorded","test21_DozyDaisy",NA,NA
"Wean.Standard.Length","unknown","test21_DozyDaisy",NA,NA
"Wean.Ax.Girth","unknown","test21_DozyDaisy",NA,NA
"Animal.ID","49677","test21_DozyDaisy",NA,NA
"Deployment.Resight.ID","348614","test21_DozyDaisy",NA,NA
"Deploy.ID","NESE0841ANNU","test21_DozyDaisy",NA,NA
"Seal.ID.1","E411","test21_DozyDaisy",NA,NA
"TOPP.ID","2020046","test21_DozyDaisy",NA,NA
"Deploy.Latitude","37.113761","test21_DozyDaisy",NA,NA
"Deploy.Longitude","-122.327811","test21_DozyDaisy",NA,NA
"Initial.sedation.location","BBN","test21_DozyDaisy",NA,NA
"Attachment.Time..GMT.","04/25/2020 16:58:00","test21_DozyDaisy",2020-04-25 16:58:00,2020-04-25 16:58:00
"Attachment.Latitude","37.117909","test21_DozyDaisy",NA,NA
"Attachment.Longitude","-122.335927","test21_DozyDaisy",NA,NA
"Recovery.procedure.location","BBN","test21_DozyDaisy",NA,NA
"Recovery.Time..GMT.","#VALUE!","test21_DozyDaisy",NA,NA
"Recovery.Latitude","37.117909","test21_DozyDaisy",NA,NA
"Recovery.Longitude","-122.335927","test21_DozyDaisy",NA,NA
"Blood","Yes?","test21_DozyDaisy",NA,NA
"Standard.Length","187","test21_DozyDaisy",NA,NA
"Curved.Length","200","test21_DozyDaisy",NA,NA
"Ax.Girth","102","test21_DozyDaisy",NA,NA
"Whisker","Y - LD1","test21_DozyDaisy",NA,NA
"Fur","N","test21_DozyDaisy",NA,NA
"Blubber","N","test21_DozyDaisy",NA,NA
"Ultrasound.skull.depth_cm","2.50","test21_DozyDaisy",NA,NA
"Instruments","Sleep Tag & MK10 09A0140 - no GPS","test21_DozyDaisy",NA,NA
"First.Calibration.Event.Type","Calibration Shake","test21_DozyDaisy",NA,NA
"First.Calibration.Event.Start","04/24/2020 23:35:30","test21_DozyDaisy",2020-04-24 23:35:30,2020-04-24 23:35:30
"First.Calibration.Event.End","04/24/2020 23:35:40","test21_DozyDaisy",2020-04-24 23:35:40,2020-04-24 23:35:40
"Expected.Duration","00:00:10.000","test21_DozyDaisy",NA,NA
"Logger.Event.Time.Start_TYPE","04/24/2020 23:35:31.000","test21_DozyDaisy",2020-04-24 23:35:31,2020-04-24 23:35:31
"Logger.Event.Time.End_TYPE","04/24/2020 23:35:40.000","test21_DozyDaisy",2020-04-24 23:35:40,2020-04-24 23:35:40
"Actual.Duration","00:00:09.000","test21_DozyDaisy",NA,NA
"Event2_type","Calibration Shake","test21_DozyDaisy",NA,NA
"Last.Calibration.Event.2.Start","04/28/2020 17:45:00","test21_DozyDaisy",2020-04-28 17:45:00,2020-04-28 17:45:00
"Last.Calibration.Event.2.End","04/28/2020 17:45:10","test21_DozyDaisy",2020-04-28 17:45:10,2020-04-28 17:45:10
"Logger.Event.Time.Start_TYPE.1","04/28/2020 17:44:17.340","test21_DozyDaisy",2020-04-28 17:44:17,2020-04-28 17:44:17
"Logger.Event.Time.End_TYPE.1","04/28/2020 17:44:17.340","test21_DozyDaisy",2020-04-28 17:44:17,2020-04-28 17:44:17
"Actual.Duration.1","00:00:00.000","test21_DozyDaisy",NA,NA
"Offset.NOT.accounted.for.by.Insert.Restart.Delays","00:00:43.660","test21_DozyDaisy",NA,NA
"Time.of.water.entry","04/25/2020 23:06:08","test21_DozyDaisy",2020-04-25 23:06:08,2020-04-25 23:06:08
"Recording.Duration_s","348857.656","test21_DozyDaisy",NA,NA
"Recording.Duration_days","4.037704352","test21_DozyDaisy",NA,NA
"Recording.Duration_based.on.start.stop","4.038194444","test21_DozyDaisy",NA,NA
"Extra.Sedation","No","test21_DozyDaisy",NA,NA
"Experiment.Duration_days.from.attachment.to.removal","#VALUE!","test21_DozyDaisy",NA,NA
"Attachment.Crew","Patrick Robinson, Theresa Keates, Jessica Kendall-Bar","test21_DozyDaisy",NA,NA
"Release.Crew","Patrick Robinson, Theresa Keates, Jessica Kendall-Bar","test21_DozyDaisy",NA,NA
"Animal.Comment","Animal has OK fur, a little bit sparse on the back, but seems OK- also has some scarring in the animal's right eye","test21_DozyDaisy",NA,NA
"Post.study.Sighting.with.Patches.Date","5/7/2020","test21_DozyDaisy",NA,NA
"Post.study.Sighting.with.Patches.Comments","Patches from JKB sleep study","test21_DozyDaisy",NA,NA
"Post.study.Sighting.without.Patches.Date","5/16/2020","test21_DozyDaisy",NA,NA
"Post.study.Sighting.without.Patches.Comments","No comment","test21_DozyDaisy",NA,NA
"Begin.Calm.in.Water.for.ICA","04/27/2020 07:35:19","test21_DozyDaisy",2020-04-27 07:35:19,2020-04-27 07:35:19
"End.Calm.in.Water.for.ICA","04/27/2020 07:42:47","test21_DozyDaisy",2020-04-27 07:42:47,2020-04-27 07:42:47
"Duration.for.ICA","00:07:28","test21_DozyDaisy",NA,NA
"Best.EOG.EMG.EEG","3,5,7,8","test21_DozyDaisy",NA,NA
"ICA.Component.Maximal.Brain","7","test21_DozyDaisy",NA,NA
"ICA.Component.Maximal.Heart","2","test21_DozyDaisy",NA,NA
"Pruned.with.ICA.Components","1,2,3,9","test21_DozyDaisy",NA,NA
"Channel.Configuration","[14 15 16 19 20 17 21 25 29]","test21_DozyDaisy",NA,NA
"Attachment.Orientation","upside down","test21_DozyDaisy",NA,NA
"Time.for.orientation","04/25/2020 11:16:00","test21_DozyDaisy",2020-04-25 11:16:00,2020-04-25 11:16:00
"AccX.during.attachment","0.174751642","test21_DozyDaisy",NA,NA
"AccY.during.attachment","0.073649269","test21_DozyDaisy",NA,NA
"AccZ.during.attachment","0.9974","test21_DozyDaisy",NA,NA
"Recording.ID","CAPTIVE_2yr-juvenile","test23_AshyAshley",NA,NA
"Test.Number","23","test23_AshyAshley",NA,NA
"Deployment","4","test23_AshyAshley",NA,NA
"Seal.Number","14","test23_AshyAshley",NA,NA
"Sex","F","test23_AshyAshley",NA,NA
"Version","V2","test23_AshyAshley",NA,NA
"Age","(1,2]","test23_AshyAshley",NA,NA
"Age.Estimate","1.8 years old","test23_AshyAshley",NA,NA
"Seal.ID","E710","test23_AshyAshley",NA,NA
"Pressed.Start.Logger","09/26/2020 15:59:48","test23_AshyAshley",2020-09-26 15:59:48,2020-09-26 15:59:48
"Logger.Start","09/26/2020 16:00:00","test23_AshyAshley",2020-09-26 16:00:00,2020-09-26 16:00:00
"Start.for.EDF.Files","09/26/2020 15:59:59.240","test23_AshyAshley",2020-09-26 15:59:59,2020-09-26 15:59:59
"Duration_ON_ANIMAL_h","116.85","test23_AshyAshley",NA,NA
